time_step,lstm_layers,lstm_units,kernel_initializer,regularizer,penalty,drop_out,drop_out_rate,learning_rate,loss,binary_accuracy,f1_score,roc_auc,val_loss,val_binary_accuracy,val_f1_score,val_roc_auc,Epoch
4,2,61,GlorotNormal,l2,0.005595978,TRUE,0.5,0.000774139,0.732720375,0.59520638,0.522012532,0.616316974,0.744709671,0.525641024,0.212765977,0.622697353,20
5,4,39,HeNormal,l1,0.012497499,TRUE,0.45,0.000120019,2.599736452,0.550966024,0.477519363,0.570929348,2.502202988,0.558441579,0.319999993,0.614709854,20
10,4,36,HeNormal,l2,0.067872702,TRUE,0.85,0.001340755,0.727235436,0.532754004,0.43216899,0.52464807,0.722885311,0.652777791,0.626865685,0.651737452,20
10,4,16,GlorotNormal,l2,0.029877802,TRUE,0.2,0.001560415,0.689257443,0.59157753,0.520031452,0.612418234,0.702712059,0.513888896,0.054054055,0.625482678,20
4,3,61,GlorotNormal,l1,0.019595525,TRUE,0.35,0.000163699,3.415491343,0.535286307,0.438906759,0.543135047,2.877360106,0.525641024,0.139534876,0.617434204,20
10,2,12,HeNormal,l1,0.001379036,TRUE,0.7,0.00527681,0.725460291,0.570855618,0.495282978,0.576755822,0.731299758,0.555555582,0.157894731,0.614285707,20
6,3,96,GlorotNormal,l2,0.022467334,TRUE,0.25,0.000247096,0.696884453,0.649999976,0.595842957,0.706630945,0.729595721,0.671052635,0.603174627,0.668282509,20
7,3,62,GlorotNormal,l2,0.011929787,FALSE,0.65,0.001032805,0.6628685,0.663108766,0.611837029,0.72520107,0.773415327,0.573333323,0.360000014,0.609886229,20
3,4,26,HeNormal,l1,0.01140034,TRUE,0.6,0.000191462,12.02085686,0.49900201,0.440148681,0.488428414,11.62773895,0.518987358,0.620000005,0.613782048,20
2,3,55,HeNormal,l2,0.0086392,FALSE,0.55,0.000478886,0.430931389,0.952792525,0.939264297,0.99094075,1.948108315,0.550000012,0.454545438,0.601249993,20
7,4,14,GlorotNormal,l2,0.03261103,FALSE,0.55,0.001665126,0.612973332,0.719813228,0.692982435,0.789438426,0.937916577,0.560000002,0.400000006,0.634423912,20
6,2,13,GlorotNormal,l1,0.007575316,FALSE,0.95,0.00768738,0.727974057,0.589999974,0.488778025,0.596053958,0.744139194,0.526315808,0.099999994,0.604570627,20
10,4,58,HeNormal,l2,0.001740002,FALSE,0.95,0.000113344,3.114324808,0.728609622,0.678797543,0.804527879,3.189899445,0.569444418,0.491803288,0.605791569,20
7,5,39,HeNormal,l2,0.010699717,FALSE,0.9,0.003021691,0.688334048,0.644429624,0.600150049,0.674898744,0.734940886,0.573333323,0.428571403,0.601706982,20
8,2,83,HeNormal,l2,0.067641296,TRUE,0.55,0.000201503,0.678677738,0.604806423,0.524115682,0.643741786,0.705347598,0.594594598,0.318181843,0.613669574,20
9,5,72,GlorotNormal,l2,0.003469634,FALSE,0.4,0.00154812,0.627172947,0.719438851,0.692532957,0.788225293,0.800660253,0.643835604,0.566666603,0.638889015,20
4,5,30,HeNormal,l2,0.028453327,TRUE,0.7,0.000328832,2.293897867,0.493342221,0.43081525,0.497552186,2.209182739,0.589743614,0.466666669,0.622039437,20
9,3,36,GlorotNormal,l1,0.008019021,FALSE,0.55,0.000188311,2.697933197,0.612558424,0.548286557,0.644883394,2.511080027,0.506849289,0,0.70082581,20
2,4,91,GlorotNormal,l2,0.00145458,TRUE,0.2,0.002087685,0.609227657,0.848404229,0.811570287,0.921014547,1.108656645,0.600000024,0.600000024,0.606562495,20
9,5,92,GlorotNormal,l2,0.049999633,FALSE,0.3,0.001601349,0.713456213,0.537074149,0.450436175,0.527918875,0.71283704,0.479452044,0,0.6006006,20
10,2,31,GlorotNormal,l2,0.0467539,TRUE,0.35,0.000199943,0.660406411,0.637032092,0.574784636,0.680417478,0.737872899,0.541666687,0.15384616,0.617374539,20
3,5,95,HeNormal,l2,0.001975048,FALSE,0.25,0.000334961,0.290583104,0.994011998,0.992153406,0.999884605,2.40846467,0.645569623,0.611111164,0.669230819,20
10,2,48,HeNormal,l2,0.002536386,FALSE,0,0.004823783,0.635897696,0.814839602,0.777510047,0.906048179,1.260941148,0.625,0.526315808,0.608108103,20
8,2,72,GlorotNormal,l2,0.003486389,TRUE,0.8,0.001393139,0.681002676,0.624165535,0.566589713,0.673475266,0.705370307,0.64864862,0.551724136,0.629386008,20
6,4,38,GlorotNormal,l1,0.001033741,FALSE,0.25,0.004176097,0.690037251,0.687333345,0.621468961,0.714157104,0.769467533,0.565789461,0.535211265,0.625346243,20
1,4,18,HeNormal,l2,0.010607864,FALSE,0.55,0.002104607,0.471554816,0.808637857,0.769599974,0.895873785,1.016728163,0.69135803,0.666666687,0.656402469,20
9,2,46,GlorotNormal,l2,0.089593679,TRUE,0.55,0.000980608,0.694857299,0.582498312,0.512860477,0.594329774,0.711786211,0.506849289,0,0.633633614,20
2,5,68,HeNormal,l2,0.006779529,TRUE,0.05,0.000953397,0.557019114,0.882313848,0.851385415,0.954074442,1.52046895,0.612500012,0.597402573,0.602500021,20
9,3,13,HeNormal,l1,0.088015104,FALSE,0.95,0.000232964,12.00010395,0.561790228,0.413237959,0.556335211,11.68040085,0.589041114,0.516129017,0.62612617,20
