,index,Y,X,alpha,beta,t-stat,p-value,r-sq,ADF p-value,Coint Strength,Coint Strength p-value,Coint Strength Rsq,Mean_Eq,Theta,Theta p-value,OU R-sq,Var_Eq
3725,122753,ELS,LNT,-0.4114307533538947,1.407138876919591,55.97019679068846,6.71581256021376e-271,0.8057959206264573,0.005534808327329,-0.0232892218857768,0.00454021794192,0.3433048048343294,-0.4078203297493141,8.907135980917786,0.0,0.9304007037849649,0.009815666248532083
3726,122815,ELS,NGG,-0.0227009567739089,1.133742119811037,42.54580243485976,1.0555728862444675e-202,0.7056696949761374,0.0418886301319214,-0.018563401072096,0.0081273227220987,0.2681336117432771,-0.014378332662837561,5.603132713496066,0.0,0.9575091460613867,0.014235390753123847
3727,122821,ELS,NOC,-0.2516610569843686,1.2463514629439532,42.54503886235661,1.0657201724794772e-202,0.7056622396420785,0.01122523569898,-0.0250086819123208,0.0007480667104494,0.185660868928132,-0.2446544980185196,8.048526815373885,0.0,0.935442448776591,0.015219772679211593
3728,122861,ELS,PEP,-0.2747518377526912,1.3188525412932894,59.167858893097296,9.734295368733604e-286,0.8225965276645046,0.005474853735936,-0.0303144189671693,0.0005048885381036,0.3206491471397755,-0.27405191631661235,8.71374900613326,0.0,0.9333510985619361,0.008767770752881758
3729,122898,ELS,RELX,0.0131310032154876,1.157828332753461,64.9301471156829,3.2995318192334e-311,0.8481167687693557,0.0014807845983537,-0.049834954449722,7.787846506442747e-07,0.2265853442493811,0.017659685404937325,12.250809421940577,0.0,0.912025777813298,0.007111136526535228
3730,122944,ELS,SO,-0.1255130456411688,1.105023969108939,43.24509520096597,1.7031639098863772e-206,0.7123961004992223,0.049457651430778,-0.0187344576828038,0.0065474515202209,0.3106552224465108,-0.11867611386380786,5.709746305231743,0.0,0.9540074153828487,0.014797471710875879
3731,122990,ELS,TM,0.1482391339208445,1.074784224672366,49.22390529764655,7.65231750952824e-238,0.762428666462771,0.0045198295434404,-0.0346317558128677,4.778237549544372e-05,0.1343244655883896,0.16193809224135058,8.47757849923293,0.0,0.9385738600375234,0.011053574971286327
3732,123011,ELS,TU,0.1851223634764349,1.037504720502411,41.40566376222643,1.8263686636659402e-196,0.6942613039001748,0.0488112970604439,-0.0211053828157821,0.0023684839131019,0.2564794264233422,0.2081113554491814,5.110346546585823,0.0,0.9630315053387037,0.014033287797551594
3733,123048,ELS,WAB,0.3910565870059481,1.0284098251457578,28.244440624910503,2.461551425514225e-120,0.5137654063892128,0.0250178354374788,-0.0193548049701449,0.0011506834922654,0.1319323195969216,0.43076027812106804,5.477593895312288,0.0,0.9639747601016955,0.02021083730994785
3734,123134,ELV,FTS,-0.6241194991087101,1.435606837614473,41.320844449669806,5.350213440715938e-196,0.6933900813672986,0.0446479148622893,-0.013869638724123,0.0397351664990957,0.2129799214918181,-0.6239761013161454,5.671714390686123,0.0,0.9557875745615576,0.016754626812983356
3735,123152,ELV,GPC,0.0285410524644474,1.0496064238936955,66.09746246853419,3.53902206e-316,0.8526505687440633,0.018699177623411,-0.0307255037184641,0.0009995796747006,0.2760300823946627,0.037192754003641595,9.005913472500987,0.0,0.928172550432247,0.008361932100021055
3736,123219,ELV,KDP,-0.4023602660544331,1.3230370764187305,61.19544941028639,6.983941334758213e-295,0.8322178609502309,0.0008037969864698,-0.0385102159282506,7.493954315614525e-05,0.1121334902618874,-0.39845868717195415,12.357315163801662,0.0,0.9003679401916832,0.009753309635049785
3737,123264,ELV,MCD,-0.3561198588404158,1.2843631657465364,45.38194228708476,6.385988671619924e-218,0.7317482853037656,0.0407313981342109,-0.0193661740667534,0.007511421772822,0.2022585693506998,-0.3523016672227513,5.956016937750517,0.0,0.9525205388989791,0.015042447114338555
3738,123309,ELV,NGG,-0.3146414807272134,1.1836078193369206,41.84730937330316,6.872744364667961e-199,0.6987467828401692,0.0467455039603098,-0.0139742854867989,0.0409800492775814,0.2043336544560116,-0.31462303795171265,5.584799229395744,0.0,0.9565775957932581,0.01643729407377657
3739,123323,ELV,NTRS,-0.0191650691106657,1.0476983618696785,51.57480930896188,1.2267943106021594e-249,0.778914016911959,0.042565548770196,-0.0215377853851177,0.0062944518474285,0.2265715339525507,-0.0038982875219912196,6.672891933054845,0.0,0.9403136207917603,0.01395523723278906
3740,123356,ELV,PFE,0.0102448693642701,1.242115169313237,41.553146954480624,2.8238227907423015e-197,0.6957686482289829,0.0329856389165544,-0.018499496067003,0.0093049247673648,0.1302337910318856,0.01672815516637106,6.590849072758514,0.0,0.9526140890021049,0.015353682892521602
3741,123371,ELV,PPG,0.0569360234892923,1.014352947064379,53.69124755806901,5.293662928221974e-260,0.7924541305350519,0.0463025045878484,-0.010673323676233,0.0188550843002646,0.1832142820581106,-0.08859486472154877,5.841446365453924,0.0,0.9527583452588763,0.0158125609123998
3742,123392,ELV,RELX,-0.2242449357773052,1.166640256564064,52.0869574608935,3.619743429286149e-252,0.7822984811760635,0.0180013085841664,-0.0242240353401308,0.0037386652584339,0.141896299667953,-0.22201996489285744,8.15954086726851,0.0,0.936261567342373,0.012067769857527187
3743,123484,ELV,TM,-0.1687530267678685,1.1485418396982052,53.45652369720191,7.270334163913589e-259,0.7910092411256969,0.0108487511892252,-0.0239768307882864,0.0054218055320785,0.1251302526344393,-0.1600096431594809,7.651252615629138,0.0,0.9356119419508332,0.01245957092483858
3744,123505,ELV,TU,-0.2459798594532568,1.2028916312372804,64.86694573733001,6.1559482443736e-311,0.8478657064632366,0.0088839622875826,-0.0288046193423277,0.0024109589156093,0.2297743057404381,-0.24033334324337305,8.731869293512089,0.0,0.9276525290842099,0.00896562419000372
3745,123602,EME,EXPE,0.2313970512601411,1.1341419068183285,55.66934484540363,1.7786876393016996e-269,0.8041034975142765,0.0434471674608633,-0.0234190741828528,0.0001470734431597,0.2247952716336968,0.25403641470644833,6.694501323060158,0.0,0.9541094027036127,0.024038897994593716
3746,123617,EME,FITBI,-2.829836473991791,3.753516628748796,40.855583671048365,1.9743286599356383e-193,0.6885543154579956,0.0233925117389366,-0.0101176966062333,0.0482468676160385,0.1519487386935114,-2.82202598245819,6.811573979446392,0.0,0.9458743830877243,0.04460352943971509
3747,123645,EME,GPC,-0.4208038846142176,1.6812132810055278,67.24694389048172,5.2e-321,0.8569303903157923,0.0279389175518781,-0.0190191617778277,0.004864501329085,0.3210489540717761,-0.41388106515398787,6.6175493755192765,0.0,0.952092272459257,0.018572526930615577
3748,123660,EME,HLT,-0.1441746394582544,1.1476078180665883,84.55123205994532,0.0,0.9044776674470544,0.0339014099811987,-0.0282656032925742,0.0008292629848645,0.2936585283979547,-0.1517726080593303,9.516339087139093,0.0,0.9225980124407359,0.014154887639099134
3749,123676,EME,IBN,0.1979277914988395,1.0164282785515275,70.50187858651438,0.0,0.8681341302456762,0.0044999424502564,-0.0190226583861961,0.0151501936601261,0.1638387206733641,0.20805605985585324,8.586608737629103,0.0,0.9370998166575972,0.017476632296570798
3750,123695,EME,IRM,0.1930474148161024,1.1053629546430208,61.69565792956841,4.159745471412174e-297,0.8344789802157039,0.045900657645327,-0.0151525229416863,0.0300228333349366,0.1644532649232093,0.19571051080538662,5.831650429053671,0.0,0.9560041378868904,0.02230898597442733
3751,123709,EME,JPM,-0.1068539394717775,1.2243971297056633,96.7826818354104,0.0,0.9254091690154368,0.0229565716245477,-0.0283711679024444,0.0010306058486114,0.42158315389652,-0.09679219874088624,8.623067257810238,0.0,0.9330557105160565,0.01049470656069554
3752,123711,EME,KB,-0.2985032253861277,1.959616521243104,46.22824912265349,2.2286611536727232e-222,0.7389395983763629,0.0094681736610341,-0.0167509240665973,0.0013969983573523,0.2561965309314525,-0.24155813276612087,5.735445886867166,0.0,0.9674576303812158,0.026165068444636043
3753,123712,EME,KDP,-1.1143248347720542,2.121852755908482,62.61027460318445,3.817192130041106e-301,0.8385042796303047,0.0056829101908638,-0.0250129625169096,0.000548778502791,0.1228726136755483,-1.1143778519212155,10.078728462586739,0.0,0.9231238668934149,0.02249167626553387
3754,123713,EME,KEY,0.0358637212257404,1.1970179081084074,71.7653383523918,0.0,0.8721479637492758,0.0461232262141597,-0.0170643960608935,0.007067352353238,0.465557859788055,0.05089750941555408,6.143636348758275,0.0,0.9561437830746102,0.01634275393864259
3755,123726,EME,LAMR,-0.0105319595536872,1.137432925785162,80.6492014424051,0.0,0.8959953913013498,0.013883857229837,-0.0210192229386001,0.0085679674317107,0.3123062066823838,-0.010709412812401092,9.110891665058531,0.0,0.9300280489659916,0.014507926895898169
3756,123739,EME,LNG,0.2556419922651334,1.1479662159930455,52.7563578895695,1.8744304140602973e-255,0.7866166709596725,0.0442730646568975,-0.0176954285060689,0.0041804898033314,0.1507228406658113,0.27962308979796485,5.386271323678396,0.0,0.96514172604569,0.024574558973193
3757,123765,EME,MET,-0.090435079891268,1.2837309953094136,107.48293665513728,0.0,0.9386556985669338,0.0012885150287864,-0.0365093884214223,4.330852856976845e-05,0.4931611555503271,-0.08075744280708415,10.248019394909393,0.0,0.9257516682292541,0.008073508255249676
3758,123780,EME,MOS,0.6238366155104479,1.0530563203423349,37.901851222714136,7.007121681829117e-177,0.6554950205772581,0.0275204218244443,-0.0136597226872178,0.0027525475037688,0.2522001382269737,0.6904834364574922,3.8693133966396456,0.0,0.9819504972151365,0.028273038893917638
3759,123813,EME,NTAP,0.2808911113043917,1.1274242536539951,53.7914005866985,1.7344480538232442e-260,0.7930664815329262,0.0381888527107096,-0.0178037360328139,0.0037285833778596,0.1871422236130648,0.305764360581674,5.547012617696394,0.0,0.9643199603024979,0.0236921107430087
3760,123816,EME,NTRS,-0.6398150278604189,1.7964615370391537,81.12523467152766,0.0,0.8970871394068012,0.0064416449519085,-0.0217243665745462,0.0029420001597505,0.4315226804519106,-0.6336672991907046,10.192419070781813,0.0,0.924318796237477,0.013927214012773808
3761,123847,EME,PEG,-1.9033863215693867,2.858368159567967,52.64927374917609,6.2646351582943175e-255,0.7859337811333938,0.0142250852421249,-0.0141134889094158,0.020360780327407,0.1808449377552689,-1.9073402603966338,9.936272551116264,0.0,0.9240320053256602,0.02986416745717471
3762,123850,EME,PFG,-0.1404976451832706,1.2908978074908275,82.92403831378128,0.0,0.9010665955334524,0.0219585949835832,-0.0209924297881435,0.0036401558001966,0.4638658133827044,-0.13711167132753277,7.561293499461135,0.0,0.9432690775240649,0.013390903235393136
3763,123860,EME,PNC,0.0581377727879334,1.119486176434437,118.55879486738267,0.0,0.9490250202660788,0.000845568460579,-0.0455195907563464,1.1395709330100218e-05,0.4322884759418524,0.06365449387139854,12.868939286368319,0.0,0.9080854162409564,0.006681083420339754
3764,123887,EME,RF,0.2077367045972238,1.034941563000433,81.92243693343623,0.0,0.8988787687673319,0.0293520436318325,-0.0271897057738045,0.0002199807080243,0.4306705507066486,0.22468179080681072,7.067598350543788,0.0,0.9495398299025289,0.012955464218529836
3765,123904,EME,RY,-0.4387643221048204,1.5442981911419342,116.31629730444271,0.0,0.947145437134462,0.0025950625999351,-0.0430949597830641,4.693323645084968e-05,0.3857739239738679,-0.4369080121028413,11.931063060489585,0.0,0.9111828525153911,0.0072218965178858
3766,123926,EME,SNA,-0.0790080481079816,1.2975438256838483,77.80304697851511,0.0,0.8891061741882064,0.0343141961013613,-0.0261553565752914,0.0005257372546249,0.3447813290478202,-0.05830392780789202,6.836601774121352,0.0,0.9476242968076343,0.015253378261904354
3767,123947,EME,STZ,-0.929189139798828,1.977547372030124,56.41942958431751,5.1400581898976716e-273,0.8082857153906459,0.0094318940923937,-0.0168041020843374,0.0071386101760217,0.2230918844417423,-0.9297481794042108,7.957679675983497,0.0,0.938718131045291,0.02673094499043471
3768,123953,EME,SYK,-0.6795587107302921,1.5341756175347243,64.09028989952421,1.3571486123988605e-307,0.8447321609638662,0.0239176854317889,-0.0204876388383362,0.0019398873549558,0.2945660155523849,-0.681250618150055,7.5214828434251775,0.0,0.9425613334832006,0.021406240723967657
3769,123961,EME,TD,-0.3835273488571789,1.558831768660356,112.3719476029009,0.0,0.943582846188414,0.001973968227699,-0.0415605105165009,4.5517224326426377e-05,0.3939605575277171,-0.3823774214911859,11.624575511947336,0.0,0.9134785580831252,0.007673693070570853
3770,123977,EME,TM,-0.8152940318555039,1.903495746340147,65.68901080301939,1.9085927636e-314,0.851086167835462,0.0108074339309326,-0.0168392237354378,0.0222721036165905,0.1619084113636809,-0.8132493766660187,7.698513958712045,0.0,0.9410863575349406,0.020603966678474812
3771,123998,EME,TU,-0.9009634693024288,1.959397323138781,74.85375540447308,0.0,0.8812535479089539,0.0472266270453816,-0.0194367297244738,0.0109958689033285,0.2794080825400611,-0.901803353787301,7.420459001706135,0.0,0.9425927476677364,0.016595337938762816
3772,124025,EME,VMC,-0.2477602186209934,1.1735712896554928,86.21795966904054,0.0,0.9077979326839823,0.0075945872931786,-0.0274637059519973,0.0011617108901508,0.3174354427974019,-0.2550816425734012,9.955684592157699,0.0,0.9225233337213437,0.013087631303519386
3773,124035,EME,WAB,-0.6781579433149505,2.100561777251712,49.27578237257924,4.17146308060828e-238,0.7628100427746991,0.018749893194402,-0.0104855339084391,0.0440612071649881,0.3337436540042775,-0.6556259315107035,7.359251306380598,0.0,0.9498771411471874,0.028975044157771208
3774,124054,EME,WPP,-0.0265901664271597,1.3372336547885653,66.80201867185102,3.7954e-319,0.855294950348129,0.0354121042726938,-0.0176327097017093,0.007146607143185,0.3527924352005555,-0.00946416427658559,6.068762743063121,0.0,0.9590588640631367,0.017434913016170856
3775,124109,EMR,FITBI,-2.2457521713928488,3.076676351953892,53.90842221296506,4.7164710318241e-261,0.7937788394168119,0.0003026974911048,-0.0150576027898076,0.022471637194332,0.1479239129472237,-2.249591329071842,12.617596405804393,0.0,0.9067029706049722,0.01635131874473489
3776,124153,EMR,HMC,-1.0338314649074667,2.175272113583111,65.13792169601368,4.259415729246e-312,0.8489380296326634,0.0020562596184812,-0.0211457565769985,0.0020700393869626,0.3214622405730984,-1.0232580656712356,10.36904099866465,0.0,0.9194573176052363,0.01247379896749519
3777,124155,EMR,HON,-0.1891505337921521,1.058281338564354,92.31275748812592,0.0,0.9186128191685152,0.0381435891956277,-0.0188298138201984,0.0083865108576935,0.600753317285321,-0.19110760935537008,5.69218732784599,0.0,0.9571974207992394,0.0063793152978328755
3778,124183,EMR,IP,0.0335719474319248,1.0590587366572215,81.03711604984437,0.0,0.8968862963551865,0.0339059068642927,-0.0221784392591135,0.0041988058569619,0.4068053639222402,0.04776519670365515,6.569721496210409,0.0,0.9451504612538526,0.009023469703060814
3779,124200,EMR,JNJ,-0.882574836414462,1.816942495355826,51.40559480664488,8.46855254107718e-249,0.777780078623873,0.0423401677666398,-0.0136712985775534,0.026217976514174,0.1911538916151411,-0.8900888440390636,5.722609680964783,0.0,0.9556191960462093,0.01802270119759274
3780,124203,EMR,KB,-0.0558588746946304,1.4826924240021009,44.70912800244055,2.378819784800253e-214,0.7258439593603254,0.028750058071113,-0.0134628796877548,0.0095419395594209,0.2891667403553608,-0.02000840314749042,5.029569680806605,0.0,0.9706914321246056,0.016485939264687437
3781,124204,EMR,KDP,-0.7360047901915847,1.6559822114650466,73.13851444841107,0.0,0.8763155255928626,0.0002951587901455,-0.0275029478611147,0.0013155711872556,0.1390298844747194,-0.7417569934591695,13.229102395626274,0.0,0.89841544867361,0.010223347962300393
3782,124207,EMR,KHC,0.1060795505278715,1.4397785566425885,30.00020007266569,8.359110075629806e-131,0.5438099554608804,0.0348560507335416,-0.0129096422162855,0.00435895138509,0.1002044732352639,0.16282228678778732,4.388751626375466,0.0,0.9748011136900917,0.0269663596687195
3783,124356,EMR,PPG,-0.017307930207292,1.017523859666318,84.097704976284,0.0,0.9035442564872712,0.0267666938200771,-0.0273868795837742,0.0005738321445611,0.4139623908240276,-0.022621771723728357,6.657394051176235,0.0,0.9466715180747046,0.008112488734456061
3784,124418,EMR,SNA,0.08688405377191,1.0006205830250012,85.93250187497148,0.0,0.9072412616329676,0.0227635936834897,-0.0257086769962707,0.0013625038976252,0.4246062486290962,0.09191394775706331,7.330410556689106,0.0,0.9446732019719102,0.007360322825044492
