,Y,X,alpha,beta,t-stat,p-value,r-sq,ADF p-value,Coint Strength,Coint Strength p-value,Coint Strength Rsq
318,A,LEN,-1.0214048580092134,1.3072955210796962,139.40186967439627,0.0,0.8854103514955376,0.0021841302641373,-0.0030435457196277037,0.06651266660103622,0.12747976709701103
319,A,LH,-1.369561285787247,2.318710395849866,195.0949090768081,0.0,0.9380191108141716,0.0011044914261631,-0.0028425106708340206,0.18630738689716722,0.20752165886716623
322,A,LIN,-0.7351335242936309,1.9702770705347352,241.8977824645445,0.0,0.9587904461186658,0.0071314756747985,-0.008369160915215388,0.000730820845916848,0.2980718967159681
344,A,MCHP,-0.0358362486683541,1.0509238772315035,203.99343422058485,0.0,0.9430071226070372,0.0034277705339442,-0.004519719895946837,0.03620187257678014,0.2655414258876676
358,A,MMC,-0.3631098012858987,1.0673446441252166,195.30822360472865,0.0,0.9381460573717092,0.0452745894072154,-0.0038008607300305066,0.06459666437507526,0.2741167607962868
370,A,MS,0.3085950301004789,1.0208131328707672,179.66571172904344,0.0,0.9277190179256648,0.0120068960662751,-0.0022359782223506375,0.017433306986925898,0.1782944286906395
392,A,NSC,-0.157915581083354,1.257746516766482,174.19847732423383,0.0,0.9234634321641356,0.039097845585377,-0.004564779322637429,0.019507350637775294,0.18823076282896345
408,A,ORCL,-1.472598898037911,2.0449294405783403,217.1808337203415,0.0,0.9493785686268992,5.967423286498777e-06,-0.0052790290571672685,0.03181417047416176,0.15605370129624907
427,A,PH,-0.560258600716191,1.4094446983903093,207.37862944859515,0.0,0.944750648083614,0.0011257352576096,-0.006324830058630409,0.0048329785817822985,0.22896963251293545
432,A,PLD,-0.0576140678536188,1.000999073701608,222.698595439659,0.0,0.9517363999857404,0.0317651075295935,-0.006412754881959219,0.008529124665646048,0.2059094714982339
447,A,RBA,-0.4808206628312645,1.7194577235249529,149.0579662422221,0.0,0.898315133515573,0.0385832487583363,-0.004506959068598078,0.011133065072716343,0.1117755741994172
460,A,ROK,-0.4931422103701224,1.3080140281920476,252.8184376695156,0.0,0.9621418314838904,0.0004498690430228,-0.01025067981771012,0.00010389727780811006,0.26850870595311915
465,A,RS,-0.971873341600441,1.8703600640074407,175.08796395786354,0.0,0.9241802920104571,0.001928517513792,-0.005395215826053296,0.006734876935634839,0.1670397680371437
470,A,RY,-2.454607585986308,2.97768845558897,150.5412663173067,0.0,0.900109910334316,0.0273572495351097,-0.001719892829229659,0.31436450945721095,0.19080681345165595
486,A,SLF,-1.9453334566609,1.9149181953881744,124.76889871839148,0.0,0.8609135426496698,0.028965049033998,-0.00044161049259971866,0.7597236158748198,0.19699189398238615
494,A,SO,-2.486731034675036,3.516575124936132,113.61427261060126,0.0,0.8369340006970257,0.0465727092698601,-0.0011653936847411028,0.40697808964239834,0.10660241151492467
495,A,SONY,-0.2925829442026235,1.0349947236326302,218.2728991544496,0.0,0.9498585057925472,0.0219337885847571,-0.0008211702425067031,0.5702749231702836,0.15674784027280697
524,A,TEL,-0.6590179143055699,1.1697700488835443,170.4695072596488,0.0,0.920348005815284,0.0327824058968197,-0.0023039657097166113,0.19346139877663113,0.3064901500645506
538,A,TRI,-0.195668984318125,1.1901793884381746,204.2006288836324,0.0,0.9431161452889604,0.0276486367842712,-0.004913693897118857,0.031470648680912885,0.1766413054687972
539,A,TRMB,-0.5830927330592737,1.7286624532164616,155.05840108710586,0.0,0.9053019882329992,0.0323879900851462,-0.0023265340834005242,0.1602957086213039,0.27851773889685116
540,A,TROW,-0.4650740482083732,1.4633241378217774,256.29002112984006,0.0,0.9631229373122292,0.0009933291759066,-0.006203767081946232,0.01819849544259226,0.2964023051571454
551,A,TU,-3.819512670950812,3.9526266300142847,177.52648009088296,0.0,0.9260960364779128,0.0003699147699802,-0.0026865085425438074,0.19461289263492965,0.12564761581890294
563,A,UPS,-1.2184791662221897,2.084852282405949,161.32687515648317,0.0,0.9118822668954368,0.007863575949641,-0.0051189997426902036,0.006580941848398144,0.13197927963590794
580,A,WAT,-0.7014060454610008,1.461045253143591,192.2638806968437,0.0,0.936297504295104,0.0450862424958058,-0.002722505486525954,0.13677645932525354,0.40819680758915455
599,A,WSO,-0.3427235343823294,1.0251628568462,193.2134784153893,0.0,0.9368827057115576,0.0080524025658647,-0.0053679465698276245,0.015836461057557306,0.13344927866722556
961,ABEV,MFG,-0.2141913716540048,1.042659305324697,60.02647692747103,0.0,0.5889299023631704,0.0123123966213506,-0.0048498466075947355,0.0360007575214322,0.0789314648592353
1090,ABEV,SHG,-0.1623115161843604,1.1958318435793354,52.64842068299853,0.0,0.5242919601628178,0.029867288755472,-0.005356041726219189,0.011445236267521067,0.10441678672082089
1124,ABEV,TAK,-0.2235789289876666,1.3277700992803882,59.61703508550291,0.0,0.5856119781233302,0.006894717746608,-0.007577389543556919,0.0012853218413368173,0.03658037521211621
1132,ABEV,TEF,0.2301460732958552,1.1054021227235389,70.13613824324587,0.0,0.6616930790879387,0.0074343170501995,-0.007494001605767831,0.002621109700284988,0.1202419624671599
